course,level,complexity,higher_order_count,total_los,avg_complexity
Embedded Systems Workshop,"{'Analyze': 3, 'Create': 2, 'Evaluate': 1, 'Understand': 1, 'Apply': 1}",4.25,7,8,4.25
Entropy and Information,"{'Apply': 2, 'Create': 2, 'Understand': 1}",4.0,4,5,4.0
Environmental Science and Technology,"{'Understand': 4, 'Evaluate': 1, 'Apply': 1}",2.6666666666666665,2,6,2.67
"Fairness, Privacy and Ethics in Al","{'Understand': 3, 'Create': 2, 'Apply': 1}",3.5,3,6,3.5
Finite Element Method,"{'Apply': 3, 'Understand': 1, 'Analyze': 1}",3.0,4,5,3.0
Foundations for Signal Processing and Communication,"{'Apply': 2, 'Understand': 1, 'Create': 1}",3.5,3,4,3.5
Gender and Society,"{'Understand': 3, 'Analyze': 2}",2.8,2,5,2.8
Geospatial Technology for Disaster Risk Modelling,"{'Understand': 2, 'Apply': 2, 'Analyze': 1}",2.8,3,5,2.8
Human Sciences Lab,"{'Analyze': 2, 'Understand': 1}",3.3333333333333335,2,3,3.33
Human-Computer Interaction,"{'Understand': 3, 'Apply': 2}",2.4,2,5,2.4
Hydrological Modeling and Software Development,"{'Apply': 3, 'Understand': 1, 'Create': 1, 'Analyze': 1}",3.5,5,6,3.5
Information Retrieval and Extraction,"{'Apply': 3, 'Create': 2}",4.2,5,5,4.2
Information Theory,"{'Apply': 3, 'Understand': 2, 'Analyze': 1}",2.8333333333333335,4,6,2.83
Intro to Cognitive Science,"{'Evaluate': 2, 'Understand': 1, 'Analyze': 1, 'Create': 1}",4.4,4,5,4.4
Introduction to Biology,"{'Understand': 4, 'Apply': 1, 'Analyze': 1, 'Evaluate': 1}",2.857142857142857,3,7,2.86
Introduction to Economics,"{'Understand': 3, 'Remember': 1, 'Analyze': 1}",2.2,1,5,2.2
Introduction to Film Studies,{'Understand': 5},2.0,0,5,2.0
Introduction to History,"{'Understand': 2, 'Evaluate': 2, 'Analyze': 1, 'Create': 1}",4.0,4,6,4.0
Introduction to Linguistics 1,"{'Understand': 2, 'Remember': 1, 'Apply': 1, 'Analyze': 1}",2.4,2,5,2.4
Introduction to Neural and Cognitive Modeling,"{'Analyze': 2, 'Create': 2, 'Understand': 1, 'Evaluate': 1}",4.5,5,6,4.5
Introduction to Philosophy,"{'Understand': 2, 'Analyze': 2, 'Evaluate': 1}",3.4,3,5,3.4
Introduction to Politics,"{'Understand': 2, 'Evaluate': 2, 'Analyze': 1, 'Create': 1}",4.0,4,6,4.0
Introduction to Psychology,"{'Apply': 4, 'Evaluate': 1}",3.4,5,5,3.4
Introduction to Quantum Field Theory,"{'Understand': 4, 'Apply': 2}",2.3333333333333335,2,6,2.33
Introduction to Remote Sensing,"{'Understand': 4, 'Apply': 2}",2.3333333333333335,2,6,2.33
